#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","NumCpu","MemoryGB","HardDiskSizeGB","Cluster"
"bo3wqsfpxmem001","4","8","107","BO3_VXR_Core_NonProd"
"bo3wqsfpxsol001","2","4","127","BO3_VXR_Core_NonProd"
"bo3up3pgxapp01","4","8","537","BO3_VXR_Core_Prod"
"bo3up3pgxapp02","4","8","537","BO3_VXR_Core_Prod"
"bo3up3pgxdbs03","4","8","555","BO3_VXR_Core_Prod"
"bo3up3pgxdbs04","4","8","560","BO3_VXR_Core_Prod"
"bo3up3pgxdbs05","4","8","560","BO3_VXR_Core_Prod"
"bo3wqsfpxweb001","2","8","127","BO3_VXR_Core_NonProd"
"bo3wqsfpxweb002","2","8","127","BO3_VXR_Core_NonProd"
"bo3wqsfpxweb003","2","8","127","BO3_VXR_Core_NonProd"
"bo3upmlexapp01","2","2","56","BO3_VXR_Core_Prod"
"mysql-prod-vm07","2","8","50","BO3_VXR_Core_Prod"
"bo3wqsfpxwrm001","2","4","127","BO3_VXR_Core_NonProd"
"bo3wssfpxdep001","2","8","195","BO3_VXR_Core_NonProd"
"bos3wppsvcapp01","4","8","150","BO3_VXR_Core_Prod"
"bo3wdpsvcdb02","4","6","125","BO3_VXR_Core_NonProd"
"bo3wssfpxjob001","2","4","127","BO3_VXR_Core_NonProd"
"bo3wssfpxmem001","2","8","117","BO3_VXR_Core_NonProd"
"bo3wssfpxsdb108","16","64","5888","BO3_UCS_SQL_NonProd"
"bo3wssfpxsdb109","16","64","5888","BO3_UCS_SQL_NonProd"
"bo3wssfpxsdb110","16","64","5888","BO3_UCS_SQL_NonProd"
"bo3wssfpxsol001","2","6","117","BO3_VXR_Core_NonProd"
"bo3wssfpxson001","2","8","160","BO3_VXR_Core_NonProd"
"bo3wssfpxweb001","2","4","122","BO3_VXR_Core_NonProd"
"bo3wssfpxweb002","2","4","127","BO3_VXR_Core_NonProd"
"bo3wssfpxweb003","2","8","117","BO3_VXR_Core_NonProd"
"bo3wssfpxweb004","1","4","127","BO3_VXR_Core_NonProd"
"bo3wssfpxwrm001","2","4","117","BO3_VXR_Core_NonProd"
"sfpwm01c","2","4","122","BO3_VXR_Core_Prod"
"sfpwm02c","2","4","127","BO3_VXR_Core_Prod"
"sfpwm03c","2","4","127","BO3_VXR_Core_Prod"
"sfpwm04c","2","4","127","BO3_VXR_Core_Prod"
"bo3upactapp01","2","8","140","BO3_VXR_Core_Prod"
"bo3upactapp02","2","8","140","BO3_VXR_Core_Prod"
"bo3upactapp03","2","8","140","BO3_VXR_Core_Prod"
"bo3upactapp04","2","8","140","BO3_VXR_Core_Prod"
"bo3upactmdb01","4","12","210","BO3_VXR_Core_Prod"
"bo3upactmdb02","4","12","210","BO3_VXR_Core_Prod"
"bo3upactmdb03","4","12","210","BO3_VXR_Core_Prod"
"bo3upactmdb04","4","12","210","BO3_VXR_Core_Prod"
"bo3upactmdb05","4","12","210","BO3_VXR_Core_Prod"
